"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"아리아","['드라마']","이탈리아",103,"2015.04.23","15세 관람가","아시아 아르젠토","['샤를로뜨 갱스부르', '지울리아 살레르노', '가브리엘 가코']",8.04,5.8,7.89,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"뱀파이어","['드라마', '공포', '멜로/로맨스']","미국",119,"2015.02.27","R","이와이 슌지","['아오이 유우', '레이첼 리 쿡', '케빈 지거스']",NA,6.83,NA,"0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"원스 어폰 어 타임 인 아메리카","['액션', '느와르']","미국",251,"2015.04.09","청소년 관람불가","세르지오 레오네","['로버트 드 니로']",9.36,9.06,NA,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"리딕 - 헬리온 최후의 빛","['모험', 'SF', '액션', '스릴러']","미국",112,"2004.08.13","12세 관람가","데이빗 토히","['빈 디젤', '탠디 뉴튼', '칼 어번']",NA,6.84,NA,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"식스팩","['스릴러']","프랑스",110,"2000.11.11","청소년 관람불가","알랑 베베리앙","['리샤드 앙코니나', '프레더릭 디팡달', '키아라 마스트로야니']",NA,6.88,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"아이언맨 3","['SF', '모험', '액션']","미국",129,"2013.04.25","12세 관람가","셰인 블랙","['로버트 다우니 주니어', '기네스 팰트로', '벤 킹슬리']",NA,7.53,8.85,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"주토피아","['애니메이션', '액션', '모험', '코미디', '가족']","미국",108,"2016.02.17","전체 관람가","바이론 하워드","['지니퍼 굿윈', '제이슨 베이트먼', '샤키라']",9.33,7.2,9.35,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"크리스마스 캐롤","['애니메이션', '판타지', '가족', '드라마']","미국",96,"2009.11.26","전체 관람가","로버트 저메키스","['짐 캐리', '콜린 퍼스', '게리 올드만']",NA,6.46,8.17,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"춘희막이","['다큐멘터리']","한국",96,"2015.09.30","12세 관람가","박혁지","['김춘희', '최막이']",8.45,6.06,8.73,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"찰리 윌슨의 전쟁","['드라마', '코미디']","미국",97,"2008.02.06","15세 관람가","마이크 니콜스","['톰 행크스', '줄리아 로버츠', '필립 세이모어 호프만']",NA,6.5,5.51,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
